"Conocimiento"			"Profundidad"			"Avara"			"Avara2"			"Costo Uniforme"	
"Performance"	"Nanosegundos"												
53	150437084		9	312464241		97	275993791		20	403853433		19	313804565
64	341344882		-13	198628854		34	149778907		51	573471127		60	531034619
81	201366385		11	316387548		28	165372118		98	482689031		71	484226243
49	202268168		2	259988782		53	212957192		78	566074241		28	463782936
33	204372723		6	397308282		58	232627922		41	373082822		43	385814517
31	149505385		4	438535210		67	263056740		62	525580554		82	450756290
44	136177102		-4	197877929		31	241948920		98	728856838		58	451805060
84	207964401		-9	244391764		66	211050638		59	575199922		19	434774454
3	155643907		-17	258424382		7	63612831		55	536858386		64	367953130
53	190068187		-6	238789838		32	201691672		52	697340693		64	1100121415
104	194986109		4	289993058		33	173772985		85	638088255		40	465126530
29	175749007		17	267344324		95	224590040		36	504670740		55	969938343
10	133839417		1	183243818		8	127575451		82	532318818		78	621415256
20	147766622		2	320415403		26	223809493		85	456299333		55	769291010
64	168472417		11	255469635		26	216491217		33	374644544		97	922856533
61	170388948		-8	256489635		75	398595434		57	579323883		22	359233662
54	156528135		-3	222379012		85	262496214		82	625152098		38	388545276
92	154368822		0	233791752		23	214560179		57	587137480		40	305036670
32	144747707		19	276895900		66	265182727		64	587863621		77	561958924
40	132466640		10	391662910		64	469822450		38	513289028		27	324726938
64	183244501		11	283826749		25	267184830		65	336119998		27	333648019
55	198972750		20	349705904		51	186474622		34	336375657		89	379293895
66	157091716		-8	268569072		55	248342380		3	190712116		55	456873288
90	187476044		-4	237017846		66	271375462		36	466925977		58	393082126
25	132853370		28	313146128		29	315576959		20	352034713		124	1789821957
51	139476191		18	324103071		25	169896695		27	420828468		64	1799674279
84	186443260		19	326854020		75	309942803		19	359632851		72	405035927
54	188403655		-7	239897066		31	227386131		107	534724262		92	857690101
11	233479641		17	421434923		16	118208658		40	479122646		77	1050320945
31	179371851		-13	150973737		39	171472718		66	513929564		14	210529801
26	155406873		-13	165327423		43	260700794		44	448570557		26	272589724
60	309945871		27	388899193		23	318905533		35	474440623		32	411958572
59	199737945		-5	238609560		54	489329300		23	318710144		59	479732189
126	213247258		-6	213436545		34	271783888		65	416359038		122	1398371055
31	178636752		-13	321211774		22	337811023		32	444214978		97	334833186
69	201806116		1	231237385		22	334613761		61	579218410		55	222960463
109	196331031		-6	225043755		22	315363651		85	658318157		22	459512981
74	157268648		5	309283483		64	376790765		69	442811656		66	1348344508
32	167026467		11	264909787		42	309575245		52	493476710		109	956844757
52	183915725		6	335766361		55	313923884		66	502361347		20	126645927
109	217115903		10	253254430		88	476007962		79	516610182		72	858543911
20	167942604		24	400633971		90	521210348		96	426361895		46	406725842
69	178879455		23	335864740		49	537442069		46	304929438		4	321746117
51	156404500		-8	231700950		-1	155825660		66	458167760		30	727788728
112	234370439		14	330821745		18	371731760		39	411061757		80	1080623368
125	216382210		8	324725713		40	320968751		77	456509190		20	180250292
30	162990468		19	352683002		58	356317026		42	516654660		60	318027186
44	144449082		34	362275867		95	532857086		27	463599604		33	263615199
48	141159362		8	183888541		64	354976411		9	339338020		4	61773317
50	175905092		11	220674762		10	160308664		47	461528377		47	5959794213
49	166421583		-3	168120416		30	260346131		19	502808420		45	223421445
80	162945033		16	262901121		6	292290272		100	539299298		34	337157729
26	134841704		6	208716667		15	219959066		38	578803140		52	1137378791
82	146145452		-22	389856114		14	295257215		70	585338980		5	233908931
28	177776618		-2	147153070		63	384754476		40	343788554		51	641218148
68	158482060		2	314926767		88	477521494		53	406629654		80	965424687
35	155169424		9	258307452		85	364322163		56	495506532		48	176401519
100	181757961		0	318973534		7	228304161		49	378126169		42	235097083
105	165759215		-3	281973589		45	261431375		56	667721117		52	281728268
52	168836135		-8	173190791		18	276087490		50	491797340		34	525664260
39	171053345		-12	282543548		73	346495415		43	453663851		87	2341325190
61	219847631		-10	200170678		38	249495019		37	515490641		7	272572592
104	174812113		2	314414646		18	231051129		67	414214248		22	374241222
44	173651402		-2	206031756		32	244346021		58	388617451		49	748587885
24	167753642		-8	170210271		45	355523804		61	712566845		25	825682301
54	180791873		31	321898487		20	217146736		51	500748448		84	212681608
62	146016003		3	357716958		23	82909545		49	511454806		67	374074449
100	230190878		-1	319636083		53	440245701		90	398122817		78	678247427
68	155150623		4	291433237		35	275622664		52	407601952		51	397435521
41	147869900		16	202512451		21	168459871		34	437980017		61	408155674
58	173008745		8	338338752		72	371688805		18	402666732		67	1152601163
38	132779400		-3	207299684		44	281579771		41	506678166		8	266363779
6	134662299		15	345498404		36	251280648		49	402263015		67	967761540
77	228773576		1	237286080		28	345931949		37	475913337		56	1909790713
48	178158588		-10	229058741		21	244422056		31	436950330		45	433604803
56	191331683		-24	180511527		87	454646497		22	495081140		48	598192900
26	160015270		-19	234366518		22	128237262		70	359963574		75	768221511
36	141725806		-10	254099497		68	207815687		24	356858854		3	90038894
59	168929081		-3	290103689		29	137555563		32	584945416		32	227699128
107	190785669		-6	232758842		34	279644588		101	451503547		37	220784270
80	144484574		-1	275367886		59	606297898		58	378069896		53	403517239
52	174780746		-1	229835471		88	539660573		29	365067541		77	568010055
25	134083766		-14	175523950		18	132024254		40	461508110		36	245671200
35	149094677		-4	226153900		32	194245319		56	427883993		59	227355223
74	167725237		3	305797815		60	258721614		22	374126919		11	179403432
47	145878947		6	372328303		15	189578975		44	449123210		83	674727561
58	183118400		2	212205906		8	269169805		65	706384710		65	1270927252
6	181548886		-3	308344884		73	444443466		41	424049562		12	178392155
30	188441860		-23	212775462		11	213746219		59	786284930		49	237832273
56	147182932		16	313644602		25	251825025		38	532407474		23	257628048
39	148732808		-6	234584177		3	215105720		36	327939387		65	487373314
41	165584900		25	273048711		24	216023382		102	556634239		34	252590399
20	151821864		5	337369668		46	295374313		88	639370527		62	565228445
99	212418317		7	199399025		20	273027195		30	384389531		24	318887024
24	156854104		2	322309373		42	370461387		25	304212195		26	142483077
75	154404482		-17	175727595		51	261170358		33	283924385		72	713124042
25	133278836		-17	239154035		34	313321470		99	596490813		33	275511905
29	136599219		4	248695255		13	208251592		42	442630505		63	323756863
35	140951613		4	224486912		46	352801225		48	473702524		33	230236059
48	166135881		5	338957735		20	291359468		66	437542065		44	319279261
													
													
54,59	173327615,89		2,27	271319798,15		41,36	282682735,92		52,29	475402905,09		50,49	604362525,02
27,97	33694819,18		12,26	65885617,41		24,84	106840395,85		23,31	106670418,94		26,31	682697089,58
